concurrency,effective_capacity,gross_agents,interval,occupancy,productive_agents,service_level,sessions,traffic_intensity
3,0,0,00:00,0,0,1,0,0
3,0,0,00:30,0,0,1,0,0
3,0,0,01:00,0,0,1,0,0
3,0,0,01:30,0,0,1,0,0
3,0,0,02:00,0,0,1,0,0
3,0,0,02:30,0,0,1,0,0
3,0,0,03:00,0,0,1,0,0
3,0,0,03:30,0,0,1,0,0
3,0,0,04:00,0,0,1,0,0
3,0,0,04:30,0,0,1,0,0
3,0,0,05:00,0,0,1,0,0
3,0,0,05:30,0,0,1,0,0
3,0,0,06:00,0,0,1,0,0
3,0,0,06:30,0,0,1,0,0
3,0,0,07:00,0,0,1,0,0
3,0,0,07:30,0,0,1,0,0
3,0,0,08:00,0,0,1,0,0
3,0,0,08:30,0,0,1,0,0
